k,target_collision,m,achieved_collision,U,D_theory,m_heuristic,m_exact_model,compression_vs_theory,compression_vs_vocab,calib_seconds,heuristic_ratio
4,0.4,7042,0.39453621346886913,7870,194481,9837,6988,0.036209192671777704,0.8947903430749682,0.003640647977590561,1.3969042885543879
4,0.3,10403,0.2952986022871664,7870,194481,13115,10335,0.053491086532874675,1.3218551461245236,0.0030407540034502745,1.2606940305681054
4,0.2,17132,0.1968233799237611,7870,194481,19673,16952,0.08809086748834076,2.176874205844981,0.002929356007371098,1.1483189353257064
4,0.1,36031,0.0987293519695045,7870,194481,39345,36677,0.18526745543266437,4.578271918678526,0.0027600390021689236,1.091976353695429
4,0.06,64648,0.05514612452350698,7870,194481,65575,62926,0.3324129349396599,8.214485387547649,0.002805323980282992,1.014339190694221
4,0.04,91664,0.03926302414231253,7870,194481,98363,95722,0.4713262478082692,11.647268106734435,0.002649972040671855,1.0730821260254844
4,0.02,191545,0.01969504447268111,7870,194481,196725,194094,0.984903409587569,24.338627700127066,0.0026035350165329874,1.0270432535435536
4,0.01,375441,0.00914866581956797,7870,194481,393450,390823,1.9304764989896186,47.70533672172808,0.002606020017992705,1.047967590114026
5,0.4,10074,0.3999298676251425,11407,4084101,14258,10128,0.0024666383128135174,0.883141930393618,0.0048952370416373014,1.4153265832837005
5,0.3,15027,0.2969229420531253,11407,4084101,19010,14980,0.0036793899073504794,1.3173489962303848,0.004601587017532438,1.2650562321155254
5,0.2,24473,0.19505566757254322,11407,4084101,28515,24571,0.005992261209994562,2.1454370123608313,0.0044401639606803656,1.1651616066685735
5,0.1,53227,0.09985096870342769,11407,4084101,57030,53162,0.01303273351956771,4.666169895678093,0.004173555003944784,1.0714487008473144
5,0.06,91654,0.05961251862891204,11407,4084101,95050,91210,0.022441658519218796,8.034890856491629,0.0040505859651602805,1.0370523926942632
5,0.04,135108,0.03997545366879984,11407,4084101,142575,138748,0.033081454156006426,11.844306127816253,0.0038745549973100424,1.0552668975930366
5,0.02,287967,0.017971421057245585,11407,4084101,285150,281336,0.0705092748685696,25.244761988252826,0.00393952801823616,0.9902176291033348
5,0.01,648349,0.007626895765757813,11407,4084101,570300,566492,0.1587495020323934,56.83781888314193,0.003927715006284416,0.8796188472566473
6,0.4,13119,0.3983690524329424,14838,85766121,18547,13174,0.00015296249669493622,0.8841488071168621,0.006633904005866498,1.4137510480981783
6,0.3,19662,0.2978838118344791,14838,85766121,24729,19486,0.00022925136138545894,1.3251112009704813,0.005967073957435787,1.2577052181873665
6,0.2,31973,0.19483757918856992,14838,85766121,37093,31962,0.00037279288869785775,2.154805229815339,0.005788690992631018,1.1601351140024396
6,0.1,68407,0.09960911174012665,14838,85766121,74185,69153,0.0007975993224644029,4.610257447095296,0.00547052500769496,1.0844650401274722
6,0.06,121748,0.05998112953228196,14838,85766121,123642,118646,0.0014195348767143147,8.205148941905918,0.005527271016035229,1.0155567237244143
6,0.04,178129,0.03902143145976544,14838,85766121,185463,180484,0.0020769156623044664,12.004919800512198,0.005232197989244014,1.0411724087599437
6,0.02,382778,0.01846610055263509,14838,85766121,370925,365964,0.0044630443295902355,25.797142472031272,0.00516203697770834,0.9690342705171143
6,0.01,693112,0.00970481196926809,14838,85766121,741850,736897,0.008081419468650097,46.711955789189915,0.005125617957673967,1.0703176398619558
