metric,pair,n,diff,p,d,p_tost,equivalent
accuracy,murmur vs xxhash,45,-0.00076,0.872,-0.109,0.027673,True
f1_macro,murmur vs xxhash,45,-0.00036,0.9703,-0.025,0.022186,True
accuracy,murmur vs fnv1a,45,-0.00056,0.8672,-0.113,0.003601,True
f1_macro,murmur vs fnv1a,45,-0.00227,0.7796,-0.189,0.016512,True
accuracy,murmur vs tabulation,45,0.00014,0.9733,0.023,0.011509,True
f1_macro,murmur vs tabulation,45,0.00086,0.9102,0.076,0.007746,True
accuracy,murmur vs sha256,45,-0.00031,0.9474,-0.045,0.021978,True
f1_macro,murmur vs sha256,45,-0.00195,0.8027,-0.169,0.012227,True
accuracy,xxhash vs fnv1a,45,0.0002,0.9662,0.029,0.020014,True
f1_macro,xxhash vs fnv1a,45,-0.00191,0.8524,-0.126,0.041933,True
accuracy,xxhash vs tabulation,45,0.0009,0.832,0.143,0.01834,True
f1_macro,xxhash vs tabulation,45,0.00122,0.8883,0.095,0.017315,True
accuracy,xxhash vs sha256,45,0.00045,0.9131,0.074,0.012351,True
f1_macro,xxhash vs sha256,45,-0.00159,0.8228,-0.151,0.006237,True
accuracy,fnv1a vs tabulation,45,0.0007,0.827,0.148,0.00288,True
f1_macro,fnv1a vs tabulation,45,0.00313,0.6711,0.287,0.013023,True
accuracy,fnv1a vs sha256,45,0.00025,0.9502,0.042,0.009965,True
f1_macro,fnv1a vs sha256,45,0.00032,0.9623,0.032,0.00283,True
accuracy,tabulation vs sha256,45,-0.00045,0.9236,-0.065,0.023487,True
f1_macro,tabulation vs sha256,45,-0.00281,0.6749,-0.284,0.006581,True
