embedding,classifier,accuracy,f1_macro,roc_auc_ovr_macro,roc_auc_ovr_weighted,roc_auc_ovo_macro,roc_auc_hardlabel_ovr_weighted,roc_auc_hardlabel_ovr_macro
Murmur2Vec,DT,0.7224,0.5195,0.8737,0.9014,0.8688,0.7762,0.716
Murmur2Vec,KNN,0.5991,0.4463,0.7783,0.835,0.7709,0.7564,0.6823
Murmur2Vec,LR,0.7256,0.5254,0.9165,0.9241,0.9047,0.7776,0.719
Murmur2Vec,MLP,0.7193,0.5177,0.9152,0.9224,0.9028,0.7741,0.7152
Murmur2Vec,NB,0.3616,0.3934,0.745,0.7168,0.7442,0.6682,0.6793
Murmur2Vec,RF,0.7245,0.5167,0.9163,0.9249,0.9042,0.7767,0.7158
Spike2Vec,DT,0.7233,0.5227,0.8769,0.9024,0.8721,0.7767,0.7185
Spike2Vec,KNN,0.6288,0.4494,0.7769,0.8474,0.7693,0.7523,0.6835
Spike2Vec,LR,0.7255,0.5255,0.9165,0.9241,0.9047,0.7775,0.7191
Spike2Vec,MLP,0.7114,0.5205,0.9163,0.9237,0.9058,0.7703,0.7182
Spike2Vec,NB,0.3611,0.3938,0.7367,0.7083,0.7359,0.6679,0.6796
Spike2Vec,RF,0.727,0.5205,0.918,0.9255,0.9067,0.7783,0.7182
