embedding,classifier,accuracy,f1_macro,roc_auc_ovr_macro,roc_auc_ovr_weighted,roc_auc_ovo_macro,roc_auc_hardlabel_ovr_weighted,roc_auc_hardlabel_ovr_macro
Murmur2Vec,DT,0.7237,0.5228,0.8716,0.9023,0.8645,0.7752,0.7154
Murmur2Vec,KNN,0.536,0.4369,0.7737,0.8202,0.7658,0.7539,0.678
Murmur2Vec,LR,0.7237,0.5181,0.9132,0.9238,0.8988,0.7749,0.7147
Murmur2Vec,MLP,0.7178,0.5164,0.9154,0.9229,0.9012,0.7717,0.7131
Murmur2Vec,NB,0.379,0.3933,0.7411,0.729,0.7392,0.677,0.6771
Murmur2Vec,RF,0.7237,0.5128,0.9143,0.9246,0.9002,0.7747,0.713
Spike2Vec,DT,0.724,0.5248,0.8735,0.9028,0.8666,0.7753,0.7172
Spike2Vec,KNN,0.6341,0.4434,0.7757,0.8576,0.7674,0.7501,0.6798
Spike2Vec,LR,0.7238,0.5185,0.9132,0.9238,0.8988,0.7749,0.7148
Spike2Vec,MLP,0.717,0.5302,0.9146,0.924,0.9025,0.7715,0.7209
Spike2Vec,NB,0.379,0.3928,0.7361,0.7249,0.7342,0.6768,0.6769
Spike2Vec,RF,0.7262,0.5169,0.9154,0.925,0.9022,0.7762,0.7153
