corpus,embedding,classifier,accuracy,balanced_accuracy,f1_macro,mcc,roc_auc_ovr_macro,roc_auc_ovr_weighted,roc_auc_ovo_macro,roc_auc_hardlabel_ovr_weighted
dedup,Murmur2Vec,DT,0.7749,0.646,0.6379,0.725,0.8175,0.8786,0.8146,0.8786
dedup,Murmur2Vec,KNN,0.6984,0.4954,0.5226,0.6294,0.8602,0.9189,0.8507,0.83
dedup,Murmur2Vec,LR,0.798,0.6613,0.6578,0.7529,0.9718,0.9814,0.9544,0.8913
dedup,Murmur2Vec,MLP,0.7894,0.6544,0.6478,0.7434,0.9732,0.9788,0.9553,0.8866
dedup,Murmur2Vec,NB,0.5412,0.306,0.3469,0.4386,0.6533,0.7533,0.6487,0.7339
dedup,Murmur2Vec,RF,0.7947,0.65,0.6401,0.7489,0.9623,0.9783,0.9493,0.8889
dedup,Spike2Vec,DT,0.7785,0.6493,0.6428,0.7292,0.8192,0.8807,0.8163,0.8807
dedup,Spike2Vec,KNN,0.6961,0.4934,0.5219,0.6267,0.8607,0.9198,0.8512,0.8288
dedup,Spike2Vec,LR,0.7942,0.6592,0.6555,0.7482,0.9715,0.9812,0.9539,0.8892
dedup,Spike2Vec,MLP,0.7838,0.6545,0.6466,0.7367,0.9708,0.9775,0.9523,0.8839
dedup,Spike2Vec,NB,0.544,0.314,0.3562,0.4427,0.6588,0.7542,0.6542,0.7357
dedup,Spike2Vec,RF,0.798,0.6571,0.6469,0.7529,0.9592,0.9777,0.9481,0.8908
raw,Murmur2Vec,DT,0.8488,0.6814,0.6805,0.7963,0.9286,0.9578,0.9212,0.9196
raw,Murmur2Vec,KNN,0.8102,0.5955,0.6011,0.7426,0.9068,0.9582,0.8967,0.8947
raw,Murmur2Vec,LR,0.856,0.6863,0.6894,0.8055,0.9839,0.9905,0.9706,0.923
raw,Murmur2Vec,MLP,0.8418,0.6779,0.6636,0.7883,0.9852,0.9904,0.9718,0.9159
raw,Murmur2Vec,NB,0.4696,0.4806,0.4692,0.3935,0.7425,0.7238,0.7421,0.7144
raw,Murmur2Vec,RF,0.8549,0.6809,0.6799,0.8039,0.9797,0.989,0.969,0.9221
raw,Spike2Vec,DT,0.8506,0.6855,0.6829,0.7988,0.9302,0.9588,0.923,0.9207
raw,Spike2Vec,KNN,0.8106,0.6014,0.6037,0.7433,0.9045,0.9567,0.8953,0.8949
raw,Spike2Vec,LR,0.8561,0.6868,0.6894,0.8056,0.9838,0.9905,0.9706,0.9231
raw,Spike2Vec,MLP,0.8426,0.6795,0.6741,0.7888,0.9847,0.9903,0.9721,0.9162
raw,Spike2Vec,NB,0.4744,0.4866,0.4743,0.3988,0.7458,0.7263,0.7455,0.7167
raw,Spike2Vec,RF,0.8581,0.6892,0.6868,0.8084,0.9803,0.989,0.9703,0.924
