name,n,mean_diff,ci_low,ci_high,t,df,p,cohens_d,p_corrected,correction,note,metric,method_a,method_b,mean_a,sd_a,mean_b,sd_b,p_naive,t_naive,tost_margin,p_tost,equivalent,ci90_low,ci90_high,significant_holm,verdict
Murmur2Vec | DT vs Murmur2Vec | KNN,5,0.08212927756653991,0.04845337982435372,0.11580517530872611,6.771235393300251,4,0.002482162504687854,5.368404478407777,0.09757509761143102,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),accuracy,Murmur2Vec | DT,Murmur2Vec | KNN,0.7789607097591889,0.005421863025654582,0.6968314321926489,0.010656944491547738,0.00027605802839562584,12.004117344434093,0.01,0.997994334339372,False,0.05627180455403823,0.1079867505790416,False,inconclusive
Murmur2Vec | DT vs Murmur2Vec | LR,5,-0.010899873257287696,-0.026632562564851383,0.004832816050275992,-1.9235681300795497,4,0.12674985798185592,-1.525052839583601,1.0,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),accuracy,Murmur2Vec | DT,Murmur2Vec | LR,0.7789607097591889,0.005421863025654582,0.7898605830164764,0.009373821083447705,0.02702436764465294,-3.410121818588014,0.01,0.5592414942029817,False,-0.022979954753520215,0.0011802082389448243,False,inconclusive
Murmur2Vec | DT vs Murmur2Vec | MLP,5,-0.001774397972116626,-0.03325214262372648,0.029703346679493224,-0.15650799060993562,4,0.8832141844240726,-0.12408344251749227,1.0,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),accuracy,Murmur2Vec | DT,Murmur2Vec | MLP,0.7789607097591889,0.005421863025654582,0.7807351077313054,0.012156733899398548,0.7951771229626834,-0.2774590123513004,0.01,0.25415104457268317,False,-0.02594405601819732,0.022395260073964064,False,inconclusive
Murmur2Vec | DT vs Murmur2Vec | NB,5,0.22230671736375157,0.14026263787997234,0.3043507968475308,7.523058350593211,4,0.0016713714291260373,5.964468489842795,0.08189720002717582,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),accuracy,Murmur2Vec | DT,Murmur2Vec | NB,0.7789607097591889,0.005421863025654582,0.5566539923954373,0.034354055798998855,0.00018273423043695165,13.336956992944003,0.01,0.9990059866821887,False,0.15931054760077606,0.2853028871267271,False,inconclusive
Murmur2Vec | DT vs Murmur2Vec | RF,5,-0.022306717363751605,-0.04333305210162171,-0.001280382625881503,-2.9455146134467243,4,0.04215704154648325,-2.335277526710816,1.0,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),accuracy,Murmur2Vec | DT,Murmur2Vec | RF,0.7789607097591889,0.005421863025654582,0.8012674271229404,0.010351085926030647,0.006419388743366908,-5.221839296052965,0.01,0.9102618242758874,False,-0.03845143567827537,-0.006161999049227838,False,inconclusive
Murmur2Vec | DT vs Spike2Vec | DT,5,-0.0020278833967046993,-0.008746864242135654,0.004691097448726254,-0.8379703797669513,4,0.44919887140705794,-0.6643638388299186,1.0,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),accuracy,Murmur2Vec | DT,Spike2Vec | DT,0.7789607097591889,0.005421863025654582,0.7809885931558934,0.007465995678085235,0.21157899460007457,-1.4855627054164122,0.01,0.015047321867349323,True,-0.007186940096909775,0.0031311733035003764,False,equivalent (TOST)
Murmur2Vec | DT vs Spike2Vec | KNN,5,0.07934093789607095,0.046650203670357965,0.11203167212178394,6.738476937911121,4,0.0025274758962041794,5.342432757089282,0.09757509761143102,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),accuracy,Murmur2Vec | DT,Spike2Vec | KNN,0.7789607097591889,0.005421863025654582,0.6996197718631179,0.010178947024213535,0.00028134183078368745,11.946042810073257,0.01,0.997921658215878,False,0.05423990615902176,0.10444196963312015,False,inconclusive
Murmur2Vec | DT vs Spike2Vec | LR,5,-0.012167300380228174,-0.028506713980917534,0.004172113220461186,-2.067506362818955,4,0.10753354626150055,-1.639170664230029,1.0,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),accuracy,Murmur2Vec | DT,Spike2Vec | LR,0.7789607097591889,0.005421863025654582,0.7911280101394169,0.010505128408163283,0.021479860516576302,-3.665297031941828,0.01,0.6343348566605396,False,-0.02471324494433292,0.00037864418387657285,False,inconclusive
Murmur2Vec | DT vs Spike2Vec | MLP,5,-0.0017743979721166036,-0.028359132660418916,0.02481033671618571,-0.18531381343910072,4,0.8620001173534821,-0.14692141805639017,1.0,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),accuracy,Murmur2Vec | DT,Spike2Vec | MLP,0.7789607097591889,0.005421863025654582,0.7807351077313054,0.009858269446200291,0.7589930007653501,-0.3285262781247535,0.01,0.2193701877211669,False,-0.022187040420729425,0.01863824447649622,False,inconclusive
Murmur2Vec | DT vs Spike2Vec | NB,5,0.2217997465145754,0.14220184677249498,0.3013976462566558,7.736571222857873,4,0.0015033821103447723,6.133746825786844,0.07516910551723861,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),accuracy,Murmur2Vec | DT,Spike2Vec | NB,0.7789607097591889,0.005421863025654582,0.5571609632446135,0.03306989152304271,0.00016370855211084092,13.715474859232941,0.01,0.9991050475123162,False,0.16068183482029183,0.28291765820885895,False,inconclusive
Murmur2Vec | DT vs Spike2Vec | RF,5,-0.027122940430925245,-0.04087578526209142,-0.013370095599759066,-5.475620216943021,4,0.005414198478676299,-4.341208418744693,0.16242595436028898,Holm-Bonferroni,Nadeau-Bengio corrected (test_frac=0.3),accuracy,Murmur2Vec | DT,Spike2Vec | RF,0.7789607097591889,0.005421863025654582,0.8060836501901141,0.006706593944396893,0.0006304507113528662,-9.707237128807506,0.01,0.9870534448831617,False,-0.03768283156699795,-0.016563049294852538,False,inconclusive
