config_id,rank,alpha,lr,targets,weighted,corpus,split,epoch,train_loss,val_accuracy,val_f1_macro,val_balanced_accuracy,trainable_params,seconds,batch,accum,weight_decay,warmup_frac,optimizer,scheduler,max_epochs,head_joint,best_val_f1_macro,best_epoch,test_accuracy,test_balanced_accuracy,test_precision_weighted,test_recall_weighted,test_f1_weighted,test_precision_macro,test_recall_macro,test_f1_macro,test_mcc,test_kappa,test_roc_auc_ovr_macro,test_roc_auc_available,test_roc_auc_ovr_weighted,test_roc_auc_ovo_macro,test_roc_auc_hardlabel_ovr_weighted,test_roc_auc_hardlabel_ovr_macro,cfg
0,8,16,0.0001,qv,False,dedup,0,12,0.6412636251581084,0.7384196185286104,0.3612517912225415,0.3807720057720057,3019542,112.9420273640426,4,4,0.01,0.06,AdamW,cosine,12,True,0.3909150702275484,10,0.7249683143219265,0.4246487510264662,0.6931333905524594,0.7249683143219265,0.7018369480640204,0.4057391444811825,0.4246487510264662,0.4058696348320301,0.6647619810505627,0.6618422274056854,0.935451494554733,True,0.9673240006829772,0.8501210336377552,0.8512738134505686,0.7055640943064407,0
1,8,16,0.0003,qv,False,dedup,0,12,0.5588977309627176,0.7438692098092643,0.436388666577866,0.4617450010307153,3019542,207.2419241508469,4,4,0.01,0.06,AdamW,cosine,12,True,0.4389463559493752,11,0.7262357414448669,0.4481117394258455,0.6986378486445444,0.7262357414448669,0.7058571349722549,0.4120694782344457,0.4481117394258455,0.4203384303246392,0.6663764057056639,0.6637823889395249,0.9531395488053902,True,0.9711898377071564,0.890624392154968,0.8518698040314509,0.7173226789870796,1
2,16,32,0.0001,qv,False,dedup,0,12,0.6993367056683105,0.7275204359673024,0.3510646072599244,0.3471612382326667,4371222,207.99751034285876,4,4,0.01,0.06,AdamW,cosine,12,True,0.3566218714900785,9,0.6806083650190115,0.3383345231115015,0.6538219622773296,0.6806083650190115,0.6551737385571816,0.3566768784894312,0.3383345231115015,0.3282923831097357,0.6116532719139994,0.605579823131033,0.935122874555572,True,0.965831434945961,0.841892780561667,0.8254911360462288,0.661235040466943,2
3,16,32,0.0003,qv,False,dedup,0,5,0.9091543455388488,0.7084468664850136,0.2753472828132622,0.3057178932178932,4371222,207.93970544310287,4,4,0.01,0.06,AdamW,cosine,12,True,0.2909041063356278,2,0.6539923954372624,0.2682525612775749,0.590779587960986,0.6539923954372624,0.6056948355437973,0.2344698685767472,0.2682525612775749,0.2381121377699362,0.5833944587014406,0.5705339091528991,0.9002443600320622,True,0.9501968236614649,0.7801231857613538,0.8093141725943589,0.6254587430294403,3
4,16,32,0.001,qv,False,dedup,0,10,0.6168646037464065,0.7520435967302452,0.4074925871795074,0.4622844087129801,4371222,112.85823965404416,4,4,0.01,0.06,AdamW,cosine,12,True,0.4189286059251286,7,0.7224334600760456,0.4281933690547996,0.6844037009018709,0.7224334600760456,0.6896692467588816,0.3935366973838945,0.4281933690547996,0.3900282187503534,0.6631827330779351,0.6583699761162867,0.9510745507296736,True,0.9702355949525964,0.8815250222845815,0.8495662078001491,0.707258784881952,4
5,32,32,0.0003,qv,False,dedup,0,12,0.6159528202339931,0.7247956403269755,0.3504389070543156,0.3756527863670721,7074582,113.03329344000667,4,4,0.01,0.06,AdamW,cosine,12,True,0.3686193855897678,9,0.6856780735107731,0.3400527628794453,0.6507134158728115,0.6856780735107731,0.6578987065772586,0.3174634276211082,0.3400527628794453,0.3173955334886363,0.617612387187103,0.6125997347007464,0.9383921661638768,True,0.96435825906184,0.8583575992256418,0.8289805874310561,0.662252771777498,5
6,16,32,0.0003,qkvd,False,dedup,0,9,0.7701416551540403,0.7029972752043597,0.315834696791618,0.3378547378547378,13832982,144.92830141697775,4,4,0.01,0.06,AdamW,cosine,12,True,0.3529046493497992,6,0.6514575411913816,0.2998347102523199,0.5972677028004081,0.6514575411913816,0.6170225796930016,0.2615846169745688,0.2998347102523199,0.2714203524234813,0.5719837121274841,0.568000907899924,0.9274278242833858,True,0.9538610637609976,0.8353790543909089,0.8076294763457517,0.6411732404146032,6
7,32,32,0.0003,qkvd,False,dedup,0,12,0.5519926478429388,0.7438692098092643,0.3449379656674378,0.3635994296708582,25998102,66.329633818008,4,4,0.01,0.06,AdamW,cosine,12,True,0.3613019702722547,10,0.7097591888466414,0.3690459132252586,0.6948698260112277,0.7097591888466414,0.6932067212091485,0.374383008124366,0.3690459132252586,0.3620019748698827,0.6480288600366645,0.6431605827739233,0.9465875834840828,True,0.968320482858611,0.8657843621276358,0.8442512060205298,0.6774434659771988,7
8,16,32,0.0003,qv,True,dedup,0,11,1.009564503053021,0.6893732970027248,0.3703130138987532,0.4398173916031059,4371222,52.14125559700187,4,4,0.01,0.06,AdamW,cosine,12,True,0.3820420621533059,8,0.6920152091254753,0.4323286880531299,0.7150820511351503,0.6920152091254753,0.6795655270848899,0.4337207359123382,0.4323286880531299,0.3852486827506862,0.6308819536599154,0.6266895904483377,0.9465559677024672,True,0.9674847724625064,0.8876028544546399,0.8348779560006476,0.708658796572049,8
9,16,32,0.001,qv,True,dedup,0,12,1.077072890835394,0.6839237057220708,0.3667933369769137,0.4134207723493437,4371222,51.99173457897268,4,4,0.01,0.06,AdamW,cosine,12,True,0.381063035169034,9,0.6692015209125475,0.4075040751206599,0.6640930504553799,0.6692015209125475,0.6576247509735922,0.3456688894601036,0.4075040751206599,0.3588461084494425,0.6002154087705527,0.5971016534310014,0.9395246586296868,True,0.9611821134504686,0.8764931374441531,0.8226702492390398,0.6956915943439227,9
